case_name,RoI,predict values,residuals,legend
office2_960_164_aout,198.9090909090909,200.33179856305924,1.422707653968331,Trainingoffice2
office2_960_82_bout,220.0848484848485,218.98439399074172,-1.1004544941067707,Trainingoffice2
office2_960_246_bout,224.3818181818182,221.855616314115,-2.5262018677032074,Trainingoffice2
office2_660_164_bout,135.40606060606063,143.5734444170571,8.167383810996455,Trainingoffice2
office2_0_164_bout,183.3272727272728,185.7558836738449,2.4286109465720926,Trainingoffice2
office2_0_82_aout,218.9454545454545,217.89442680671613,-1.0510277387383837,Trainingoffice2
office2_960_82_aout,208.4848484848485,208.95954761667252,0.4746991318240248,Trainingoffice2
office2_0_246_bout,232.1818181818182,228.74857680211892,-3.4332413796992682,Trainingoffice2
office2_0_0,204.2242424242424,204.64114058310332,0.4168981588609313,Trainingoffice2
office2_0_82_bout,230.1393939393939,227.644300135133,-2.495093804260904,Trainingoffice2
office2_660_246_bout,175.62424242424242,179.22789130330585,3.603648879063428,Trainingoffice2
office2_0_246_aout,240.43636363636364,236.8459861328883,-3.590377503475338,Trainingoffice2
office2_660_164_aout,222.52121212121216,221.01660401275817,-1.5046081084539935,Trainingoffice2
office2_360_82_aout,152.35151515151514,159.13744789522713,6.785932743711982,Trainingoffice2
office2_660_246_aout,236.830303030303,233.6077125081489,-3.222590522154121,Trainingoffice2
office2_660_82_bout,202.8242424242424,204.10800457803225,1.2837621537898372,Trainingoffice2
office2_360_164_aout,201.7454545454545,202.60714885978274,0.861694314328247,Trainingoffice2
office2_360_0,223.0848484848485,221.55802546955107,-1.526823015297424,Trainingoffice2
office2_960_0,228.04242424242423,226.38329539063704,-1.6591288517871874,Trainingoffice2
office2_660_82_aout,212.3939393939394,212.4081254590662,0.014186065126807534,Trainingoffice2
office2_0_164_aout,238.3454545454545,234.9777367041823,-3.3677178412721958,Trainingoffice2
office2_360_246_bout,230.8787878787879,227.73652254207826,-3.1422653367096416,Trainingoffice2
office2_960_246_aout,216.87878787878785,215.31168906620172,-1.5670988125861243,Trainingoffice2
office2_960_164_bout,188.86060606060605,190.90257851307985,2.0419724524738,Trainingoffice2
office2_360_246_aout,200.72727272727275,201.63452017306582,0.9072474457930753,Trainingoffice2
office2_360_164_bout,182.45454545454547,185.03457999174796,2.5800345372024935,Trainingoffice2
office2_660_0,210.7333333333333,211.04262910811653,0.3092957747832372,Trainingoffice2
office2_360_82_bout,222.9272727272727,221.8158279350222,-1.111444792250495,Trainingoffice2
office8_360_164_bout,139.15555555555557,139.7850524629968,0.6294969074412222,Trainingoffice8
office8_660_246_aout,174.6277777777778,174.26189796345076,-0.3658798143270303,Trainingoffice8
office8_660_82_bout,169.18333333333334,169.28085125586603,0.09751792253268832,Trainingoffice8
office8_660_82_aout,169.78888888888886,170.3257289812804,0.5368400923915431,Trainingoffice8
office8_660_164_bout,168.5888888888889,168.68975622530368,0.10086733641477963,Trainingoffice8
office8_0_164_aout,166.4611111111111,166.02414827377083,-0.43696283734027475,Trainingoffice8
office8_0_82_aout,151.0888888888889,151.39114959082463,0.3022607019357224,Trainingoffice8
office8_660_164_aout,167.36666666666665,167.46313513078223,0.0964684641155884,Trainingoffice8
office8_660_246_bout,177.9388888888889,177.25492238879428,-0.6839665000946127,Trainingoffice8
office8_360_246_bout,153.32222222222222,153.47117582020402,0.14895359798180152,Trainingoffice8
office8_960_82_aout,177.69444444444443,177.67210298873653,-0.02234145570790247,Trainingoffice8
office8_360_82_bout,157.21666666666667,157.44103335090767,0.22436668424100503,Trainingoffice8
office8_360_82_aout,149.2388888888889,149.8346152316531,0.5957263427641806,Trainingoffice8
office8_0_0,153.75555555555553,154.06227331660497,0.30671776104944115,Trainingoffice8
office8_960_164_bout,171.5,171.36172071656193,-0.1382792834380666,Trainingoffice8
office8_0_246_aout,163.66666666666669,163.23180165590117,-0.4348650107655203,Trainingoffice8
office8_360_164_aout,147.03333333333336,147.61176051015343,0.578427176820071,Trainingoffice8
office8_360_0,157.33888888888887,157.85790079728602,0.5190119083971467,Trainingoffice8
office8_0_82_bout,158.79444444444442,158.69327196837193,-0.10117247607249169,Trainingoffice8
office8_960_246_aout,192.5611111111111,191.70475765456254,-0.8563534565485611,Trainingoffice8
office8_960_164_aout,163.37222222222223,163.6669242501046,0.29470202788238,Trainingoffice8
office8_0_164_bout,149.52777777777777,149.44627124399145,-0.08150653378632455,Trainingoffice8
office8_0_246_bout,154.89444444444445,154.23487349231232,-0.6595709521321282,Trainingoffice8
office8_960_82_bout,168.5222222222222,168.59819826360115,0.07597604137893654,Trainingoffice8
office8_660_0,165.1222222222222,165.5135371711696,0.3913149489473824,Trainingoffice8
office8_360_246_aout,168.82222222222222,168.35874351942513,-0.46347870279709014,Trainingoffice8
office8_960_0,175.42222222222222,175.5653525078139,0.14313028559169538,Trainingoffice8
office8_960_246_bout,183.7888888888889,182.99148771201388,-0.7974011768750131,Trainingoffice8
office15_360_164_bout,119.26666666666664,115.64677089503655,-3.619895771630084,Trainingoffice1
office15_660_246_aout,153.90476190476193,154.90957209166356,1.0048101869016364,Trainingoffice1
office15_660_82_bout,147.2904761904762,147.85302770462192,0.5625515141457242,Trainingoffice1
office15_660_82_aout,146.8904761904762,147.483191183567,0.5927149930907945,Trainingoffice1
office15_660_164_bout,136.33809523809526,135.35611536630427,-0.9819798717909975,Trainingoffice1
office15_0_164_aout,144.42857142857142,143.95240179874554,-0.4761696298258755,Trainingoffice1
office15_0_82_aout,146.20476190476194,146.10549188986485,-0.09927001489708687,Trainingoffice1
office15_660_164_aout,158.27619047619046,160.27153183856717,1.9953413623767062,Trainingoffice1
office15_660_246_bout,149.65714285714284,149.81261618317924,0.1554733260364003,Trainingoffice1
office15_360_246_bout,129.1952380952381,126.39026390623523,-2.8049741890028628,Trainingoffice1
office15_960_82_aout,147.56666666666666,148.2447043224946,0.67803765582795,Trainingoffice1
office15_360_82_bout,124.1904761904762,121.63251757430503,-2.5579586161711774,Trainingoffice1
office15_360_82_aout,153.38571428571427,154.82576538017412,1.4400510944598466,Trainingoffice1
office15_0_0,128.07619047619045,125.76160318598338,-2.314587290207072,Trainingoffice1
office15_960_164_bout,155.14285714285717,156.33984115457687,1.1969840117197066,Trainingoffice1
office15_0_246_aout,170.4190476190476,172.86881815490221,2.4497705358546114,Trainingoffice1
office15_360_164_aout,143.60476190476192,143.4889003228782,-0.11586158188370632,Trainingoffice1
office15_360_0,125.63809523809525,123.40609898649748,-2.2319962515977636,Trainingoffice1
office15_0_82_bout,134.31428571428577,132.64787116508398,-1.6664145492017894,Trainingoffice1
office15_960_246_aout,167.0142857142857,169.81386430462092,2.7995785903352157,Trainingoffice1
office15_960_164_aout,153.57142857142858,155.16304656507384,1.591617993645258,Trainingoffice1
office15_0_164_bout,149.2190476190476,149.15279572697779,-0.06625189206980053,Trainingoffice1
office15_0_246_bout,136.64761904761903,134.8974047340891,-1.7502143135299377,Trainingoffice1
office15_960_82_bout,155.7809523809524,157.66921047720376,1.8882580962513487,Trainingoffice1
office15_660_0,148.4190476190476,149.22410581061374,0.8050581915661326,Trainingoffice1
office15_360_246_aout,143.85238095238094,143.6156413491788,-0.23673960320215315,Trainingoffice1
office15_960_0,149.96190476190478,150.85426853432818,0.8923637724234084,Trainingoffice1
office15_960_246_bout,152.73809523809524,153.60779748847165,0.869702250376406,Trainingoffice1
office9_360_164_bout,175.20555555555555,175.39815502924492,0.19259947368936992,Trainingoffice9
office9_660_246_aout,192.06666666666663,191.45711051218572,-0.6095561544809129,Trainingoffice9
office9_660_82_bout,182.52777777777777,182.99537512334354,0.46759734556576404,Trainingoffice9
office9_660_82_aout,198.05,197.91342525347164,-0.13657474652836754,Trainingoffice9
office9_660_164_bout,197.0833333333333,196.72817319183372,-0.3551601414995673,Trainingoffice9
office9_0_164_aout,151.4111111111111,152.31319189216913,0.9020807810580322,Trainingoffice9
office9_0_82_aout,150.47222222222223,151.70923544030558,1.237013218083348,Trainingoffice9
office9_660_164_aout,189.62222222222223,189.65405667752947,0.03183445530723361,Trainingoffice9
office9_660_246_bout,181.88888888888889,181.97698279763546,0.08809390874657197,Trainingoffice9
office9_360_246_bout,183.71666666666667,183.40673389512094,-0.30993277154573207,Trainingoffice9
office9_960_82_aout,211.32777777777773,210.67272674121466,-0.6550510365630657,Trainingoffice9
office9_360_82_bout,179.2,179.65172458223546,0.45172458223547096,Trainingoffice9
office9_360_82_aout,165.83333333333331,166.96005186465933,1.12671853132602,Trainingoffice9
office9_0_0,159.5222222222222,160.42869437056055,0.906472148338338,Trainingoffice9
office9_960_164_bout,191.4055555555556,191.01546121574756,-0.3900943398080301,Trainingoffice9
office9_0_246_aout,189.9555555555556,188.86228302094324,-1.0932725346123675,Trainingoffice9
office9_360_164_aout,166.6611111111111,167.54485616835134,0.8837450572402474,Trainingoffice9
office9_360_0,167.82777777777778,168.92192055807527,1.0941427802974886,Trainingoffice9
office9_0_82_bout,175.25555555555556,175.5166397752543,0.26108421969874485,Trainingoffice9
office9_960_246_aout,199.76111111111112,199.55893352917806,-0.20217758193305713,Trainingoffice9
office9_960_164_aout,206.82777777777773,206.05240785875645,-0.7753699190212728,Trainingoffice9
office9_0_164_bout,177.05,176.85730318848593,-0.19269681151408236,Trainingoffice9
office9_0_246_bout,176.17777777777778,175.89163684380478,-0.28614093397300167,Trainingoffice9
